"","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM","Cluster"
"TMe-1190","Green purple","Long","Green purple","Top part","50-75% leaf retention","2","White","4","450-600","Green purple","Dark green","3","Medium (15-20cm)","Intermediate","Absent","Irregular",13,4.33333333333333,4,1.33333333333333,7.2,2.4,11.2,3.73333333333333,4,40.1,I
"TMe-1191","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","Cream","4","450-600","Dark green","Dark green","3","Long (25-30cm)","Absent","Present","Tending toward horizontal",8,4,5,2.5,4.4,2.2,9.4,4.7,0,48.9,I
"TMe-1192","Green purple","Long","Green purple","Top part","50-75% leaf retention","1","Cream","3","450-600","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Irregular",20,5,6.8,1.7,14.8,3.7,21.6,5.4,0,45,V
"TMe-1198","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","4","Long (25-30cm)","Short","Absent","Irregular",8,2,0.8,0.2,1.4,0.35,2.2,0.55,5,39,III
"TMe-1200","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Purple","Green purple","4","Long (25-30cm)","Absent","Absent","Irregular",15,5,5.4,1.8,8.8,2.93333333333333,14.2,4.73333333333333,0,45,III
"TMe-1204","Purple","Long","Green purple","Central part","25-50% leaf retention","2","Cream","3","750-900","Purple","Dark green","4","Medium (15-20cm)","Absent","Absent","Irregular",4,1.33333333333333,1.6,0.533333333333333,2.2,0.733333333333333,3.8,1.26666666666667,0,44.2,V
"TMe-1215","Purple","Long","Green purple","Top part","50-75% leaf retention","0","Cream","1","150-300","Purple","Dark green","4","Long (25-30cm)","Absent","Absent","Irregular",14,4.66666666666667,5.4,1.8,8.2,2.73333333333333,13.6,4.53333333333333,1,40.2,V
"TMe-1217","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","Cream","2","150-300","Purple","Dark green","4","Medium (15-20cm)","Absent","Present","Tending toward horizontal",10,3.33333333333333,6,2,9.2,3.06666666666667,15.2,5.06666666666667,0,38,VI
"TMe-1224","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","Cream","2","450-600","Green purple","Green purple","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",17,4.25,7.4,1.85,12.4,3.1,19.8,4.95,0,45.4,I
"TMe-1226","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","6","450-600","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",16,4,5.4,1.35,11.2,2.8,16.6,4.15,0,34.1,I
"TMe-1231","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","450-600","Dark green","Green purple","3","Medium (15-20cm)","Short","Absent","Tending toward horizontal",13,6.5,2.6,1.3,7.4,3.7,10,5,1,29.1,IV
"TMe-1233","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","Cream","3","150-300","Purple","Dark green","2","Medium (15-20cm)","Absent","Present","Irregular",4,4,1.6,1.6,2.8,2.8,4.4,4.4,0,20.5,VI
"TMe-1241","Purple","Long","Green purple","Central part","50-75% leaf retention","0","Yellow","0","No branching","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Tending toward horizontal",18,4.5,9.2,2.3,6.2,1.55,15.4,3.85,4,41.2,II
"TMe-1242","Green purple","Long","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Purple","Dark green","4","Long (25-30cm)","Absent","Absent","Irregular",22,5.5,4,1,10.8,2.7,14.8,3.7,4,29.6,II
"TMe-1246","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","Cream","1","450-600","Green purple","Green purple","4","Long (25-30cm)","Short","Absent","Tending toward horizontal",6,3,4.8,2.4,6.2,3.1,11,5.5,0,42.3,IV
"TMe-1250","Dark green","Short","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Green","Dark green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",2,1,1.8,0.9,2,1,3.8,1.9,1,32.5,II
"TMe-1257","Purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","0","No branching","Purple","Dark green","3","Medium (15-20cm)","Short","Absent","Tending toward horizontal",1,1,0.8,0.8,1.2,1.2,2,2,0,48.1,V
"TMe-1261","Green purple","Short","Green purple","Central part","25-50% leaf retention","3","Cream","3","450-600","Purple","Green purple","5","Medium (15-20cm)","Absent","Absent","Irregular",45,9,13.2,2.64,25.4,5.08,38.6,7.72,1,43,VI
"TMe-1262","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","1","Medium (15-20cm)","Short","Present","Tending toward horizontal",5,5,1.2,1.2,2.8,2.8,4,4,0,35,III
"TMe-1264","Dark green","Long","Green purple","Central part","50-75% leaf retention","2","Cream","4","450-600","Dark green","Dark green","3","Medium (15-20cm)","Short","Present","Irregular",5,2.5,6,3,6.4,3.2,12.4,6.2,0,43,VI
"TMe-1267","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","2","450-600","Dark green","Green purple","4","Long (25-30cm)","Short","Present","Irregular",12,3,3.2,0.8,0.4,0.1,3.6,0.9,7,39,IV
"TMe-1268","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","5","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",19,4.75,6.4,1.6,10,2.5,16.4,4.1,2,42.1,V
"TMe-1272","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","Cream","3","450-600","Dark green","Green purple","2","Long (25-30cm)","Absent","Present","Irregular",7,7,6.2,6.2,8.4,8.4,14.6,14.6,1,40.5,I
"TMe-1279","Dark green","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Dark green","Dark green","4","Long (25-30cm)","Absent","Present","Tending toward horizontal",7,3.5,4,2,6.6,3.3,10.6,5.3,1,34.2,II
"TMe-1295","Purple","Long","Green purple","Central part","50-75% leaf retention","2","White","3","450-600","Green purple","Dark green","4","Medium (15-20cm)","Absent","Absent","Irregular",22,5.5,2.6,0.65,5.4,1.35,8,2,2,40.1,V
"TMe-1297","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","150-300","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",17,4.25,3.6,0.9,7.6,1.9,11.2,2.8,1,22.2,IV
"TMe-1323","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","2","Long (25-30cm)","Absent","Absent","Tending toward horizontal",2,2,2.2,2.2,4,4,6.2,6.2,1,33,II
"TMe-1335","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","450-600","Purple","Green purple","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",13,3.25,11,2.75,7.2,1.8,18.2,4.55,3,29.3,IV
"TMe-1341","Dark green","Long","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Dark green","Green purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",6,6,3.4,3.4,7.2,7.2,10.6,10.6,0,40.9,I
"TMe-1342","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","White","3","450-600","Purple","Green purple","5","Medium (15-20cm)","Intermediate","Absent","Irregular",16,5.33333333333333,6.6,2.2,16.2,5.4,22.8,7.6,2,41.6,IV
"TMe-1344","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","2","150-300","Purple","Green purple","2","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",5,2.5,1.8,0.9,3.4,1.7,5.2,2.6,2,26.2,I
"TMe-1345","Purple","Long","Green purple","Central part","<100% leaf retention","3","Cream","3","450-600","Purple","Dark green","3","Long (25-30cm)","Absent","Absent","Irregular",20,6.66666666666667,4,1.33333333333333,7.8,2.6,11.8,3.93333333333333,3,37.2,V
"TMe-1347","Green purple","Medium","Green purple","Central part","50-75% leaf retention","1","Cream","1","150-300","Dark green","Light green","3","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",8,2.66666666666667,2.8,0.933333333333333,5,1.66666666666667,7.8,2.6,0,32.8,I
"TMe-1348","Purple","Long","Purple","Totally pigmented","50-75% leaf retention","1","Cream","3","150-300","Purple","Green purple","3","Long (25-30cm)","Intermediate","Absent","Irregular",14,4.66666666666667,5.6,1.86666666666667,2.8,0.933333333333333,8.4,2.8,12,31.4,IV
"TMe-1350","Dark green","Short","Purple","Totally pigmented","50-75% leaf retention","3","White","3","150-300","Green purple","Green purple","5","Long (25-30cm)","Absent","Present","Irregular",13,3.25,7.2,1.8,12,3,19.2,4.8,2,36,IV
"TMe-1351","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","Cream","1","150-300","Green purple","Green purple","5","Medium (15-20cm)","Intermediate","Absent","Irregular",9,2.25,3.6,0.9,4.2,1.05,7.8,1.95,4,45.2,IV
"TMe-1353","Green purple","Medium","Green purple","Central part","<100% leaf retention","4","White","5","450-600","Purple","Green purple","4","Medium (15-20cm)","Intermediate","Present","Irregular",16,4,4.8,1.2,11.2,2.8,16,4,2,46,VI
"TMe-1357","Purple","Long","Green purple","Central part","<100% leaf retention","3","Cream","3","150-300","Purple","Green purple","3","Long (25-30cm)","Absent","Present","Tending toward horizontal",11,5.5,6.4,3.2,8.4,4.2,14.8,7.4,6,42.9,V
"TMe-1358","Green purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","3","150-300","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Tending toward horizontal",21,7,3.4,1.13333333333333,8.2,2.73333333333333,11.6,3.86666666666667,3,37.4,V
"TMe-1359","Purple","Long","Green purple","Top and bottom","25-50% leaf retention","3","Cream","3","450-600","Purple","Dark green","4","Medium (15-20cm)","Short","Absent","Irregular",25,8.33333333333333,4.8,1.6,9.4,3.13333333333333,14.2,4.73333333333333,0,43.6,V
"TMe-1360","Green purple","Medium","Green purple","Top part","<25% leaf retention","3","White","3","450-600","Green purple","Dark green","5","Medium (15-20cm)","Absent","Present","Irregular",12,2.4,3.4,0.68,6.8,1.36,10.2,2.04,3,45.9,I
"TMe-1362","Green purple","Long","Green purple","Central part","25-50% leaf retention","2","White","1","450-600","Dark green","Dark green","4","Medium (15-20cm)","Intermediate","Present","Irregular",16,5.33333333333333,3.8,1.26666666666667,2.6,0.866666666666667,6.4,2.13333333333333,6,42.2,VI
"TMe-1364","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","White","2","150-300","Green purple","Green purple","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",5,2.5,3.2,1.6,4,2,7.2,3.6,0,28.2,IV
"TMe-1366","Purple","Long","Green purple","Top part","<100% leaf retention","1","Cream","2","450-600","Purple","Dark green","3","Medium (15-20cm)","Absent","Present","Irregular",17,8.5,6,3,10.4,5.2,16.4,8.2,6,41.2,V
"TMe-1367","Purple","Medium","Green purple","Top part","50-75% leaf retention","2","Cream","2","450-600","Purple","Dark green","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",20,4,4.6,0.92,7,1.4,11.6,2.32,2,45.1,V
"TMe-1368","Purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","Cream","2","150-300","Purple","Green purple","3","Medium (15-20cm)","Absent","Absent","Irregular",10,5,2.8,1.4,5,2.5,7.8,3.9,2,42.8,IV
"TMe-1369","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","White","3","150-300","Green purple","Green purple","4","Medium (15-20cm)","Short","Present","Tending toward horizontal",6,1.5,4.2,1.05,6.2,1.55,10.4,2.6,1,42.1,IV
"TMe-1372","Green purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","4","450-600","Dark green","Dark green","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",21,7,6.4,2.13333333333333,10.2,3.4,16.6,5.53333333333333,0,42.7,V
"TMe-1373","Purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Green purple","Green purple","5","Medium (15-20cm)","Absent","Absent","Irregular",19,4.75,5,1.25,7.2,1.8,12.2,3.05,2,38.1,V
"TMe-1374","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","White","1","150-300","Dark green","Green purple","4","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",8,2.66666666666667,2.8,0.933333333333333,4.2,1.4,7,2.33333333333333,0,43.8,IV
"TMe-1375","Purple","Medium","Green purple","Top and bottom","50-75% leaf retention","2","Cream","2","450-600","Green purple","Dark green","3","Medium (15-20cm)","Short","Present","Irregular",10,5,4.2,2.1,7.6,3.8,11.8,5.9,1,43.2,V
"TMe-1376","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","Cream","4","450-600","Purple","Green purple","4","Long (25-30cm)","Intermediate","Absent","Irregular",30,7.5,8.2,2.05,10,2.5,18.2,4.55,4,48.4,IV
"TMe-1381","Purple","Medium","Green purple","Top and bottom","50-75% leaf retention","2","Cream","2","150-300","Purple","Green purple","4","Medium (15-20cm)","Short","Present","Tending toward horizontal",11,2.75,5.4,1.35,7,1.75,12.4,3.1,1,42.6,V
"TMe-1382","Purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","2","450-600","Purple","Dark green","5","Long (25-30cm)","Short","Absent","Irregular",20,5,6.6,1.65,17.6,4.4,24.2,6.05,2,37.1,V
"TMe-1383","Dark green","Medium","Light green","Absent","25-50% leaf retention","3","White","2","450-600","Dark green","Dark green","4","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",8,2.66666666666667,1.8,0.6,4.2,1.4,6,2,0,45.3,VI
"TMe-1385","Purple","Long","Green purple","Top part","50-75% leaf retention","0","Cream","0","No branching","Purple","Light green","3","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",10,3.33333333333333,4.2,1.4,7.6,2.53333333333333,11.8,3.93333333333333,3,31.7,II
"TMe-1388","Green purple","Long","Green purple","Top part","<100% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Irregular",23,4.6,8.6,1.72,25,5,33.6,6.72,1,43,V
"TMe-1390","Green purple","Medium","Green purple","Central part","50-75% leaf retention","1","Cream","1","150-300","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",25,6.25,5,1.25,8.2,2.05,13.2,3.3,3,35.6,V
"TMe-1392","Green purple","Medium","Green purple","Central part","<100% leaf retention","3","Cream","6","450-600","Green purple","Light green","3","Medium (15-20cm)","Absent","Present","Tending toward horizontal",5,2.5,7.2,3.6,3.4,1.7,10.6,5.3,2,41.6,VI
"TMe-1398","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","4","Long (25-30cm)","Short","Absent","Irregular",11,2.2,2,0.4,1.2,0.24,3.2,0.64,6,45.3,III
"TMe-1399","Green purple","Short","Green purple","Central part","50-75% leaf retention","1","Cream","1","150-300","Green purple","Dark green","5","Medium (15-20cm)","Short","Absent","Irregular",17,4.25,2.8,0.7,5,1.25,7.8,1.95,0,36.5,V
"TMe-1401","Purple","Long","Green purple","Central part","50-75% leaf retention","1","Yellow","1","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Irregular",30,7.5,6.2,1.55,14.8,3.7,21,5.25,4,38.6,V
"TMe-1402","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","White","2","150-300","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Present","Irregular",7,2.33333333333333,2.8,0.933333333333333,3.4,1.13333333333333,6.2,2.06666666666667,1,45.2,IV
"TMe-1403","Dark green","Medium","Light green","Absent","25-50% leaf retention","3","White","3","150-300","Green","Dark green","5","Medium (15-20cm)","Short","Absent","Tending toward horizontal",12,3,3.2,0.8,7.4,1.85,10.6,2.65,0,43.6,VI
"TMe-1404","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","White","4","450-600","Purple","Light green","1","Medium (15-20cm)","Short","Present","Irregular",7,7,2.4,2.4,6.8,6.8,9.2,9.2,1,39.6,VI
"TMe-1405","Green purple","Long","Green purple","Top part","50-75% leaf retention","3","White","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",24,6,5.2,1.3,11.6,2.9,16.8,4.2,0,41.1,V
"TMe-1406","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","2","Cream","1","450-600","Dark green","Green purple","5","Long (25-30cm)","Absent","Absent","Irregular",26,5.2,7,1.4,9.6,1.92,16.6,3.32,4,44.3,IV
"TMe-1409","Dark green","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","1","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",3,3,1,1,3.4,3.4,4.4,4.4,0,41.1,II
"TMe-1411","Purple","Medium","Green purple","Central part","50-75% leaf retention","1","Cream","1","450-600","Purple","Dark green","3","Medium (15-20cm)","Absent","Absent","Irregular",10,5,2.8,1.4,5.2,2.6,8,4,5,35.8,V
